topic,TP,TN,FP,FN,N
A1.1_PRIVACY_INPUT_CONTENT,11,1,0,6,18
A1.2_PRIVACY_BEHAVIORAL_METADATA,11,0,0,1,12
A2.1_PRIVACY_SERVICE_PROVISION,4,0,0,2,6
A2.2_PRIVACY_MODEL_TRAINING,28,0,0,4,32
A3.1_PRIVACY_RETENTION_DURATION,26,0,1,7,34
A3.2_PRIVACY_DELETION_MECHANISM,14,0,0,0,14
A4.1_PRIVACY_THIRD_PARTY_SHARING,8,1,0,3,12
A4.2_PRIVACY_PLUGIN_EXTENSION_ACCESS,4,0,0,1,5
B1.1_PRIVACY_CONSENT_MECHANISM,7,4,3,11,25
B1.2_PRIVACY_GRANULAR_CONTROL,22,2,2,8,34
B1.3_PRIVACY_TRANSPARENCY_DISCLOSURE,21,2,0,9,32
B1.4_PRIVACY_POLICY_CHANGE_NOTIFICATION,1,0,0,0,1
C1.1_PRIVACY_OUTPUT_RISK,11,0,3,2,16
C1.2_PRIVACY_MEMORY_PERSONALIZATION,12,0,0,8,20
C2.1_PRIVACY_AGENT_AUTONOMOUS_ACTIONS,1,0,0,0,1
C2.2_PRIVACY_DOWNSTREAM_INTEGRATION,1,0,1,0,2
D1.1_PRIVACY_JURISDICTION_LAW,8,2,1,6,17
D1.2_PRIVACY_VULNERABLE_POPULATION,1,0,0,0,1
D2.1_PRIVACY_DATA_SECURITY,7,4,0,1,12
D2.2_PRIVACY_BREACH_NOTIFICATION,0,1,0,0,1
COUNT,198,17,11,69,295
