record_id,sample_id,provider,thread_id,record_type,concern_detection
RECORD_000001,GT_SAMPLE_000001,chatgpt,Chatgpt_POST_000001,post,True
RECORD_000002,GT_SAMPLE_000002,chatgpt,Chatgpt_POST_000001,comment,True
RECORD_000003,GT_SAMPLE_000003,chatgpt,Chatgpt_POST_000001,comment,False
RECORD_000004,GT_SAMPLE_000004,chatgpt,Chatgpt_POST_000001,comment,False
RECORD_000005,GT_SAMPLE_000005,chatgpt,Chatgpt_POST_000002,post,True
RECORD_000006,GT_SAMPLE_000006,chatgpt,Chatgpt_POST_000003,post,True
RECORD_000007,GT_SAMPLE_000007,chatgpt,Chatgpt_POST_000004,post,False
RECORD_000008,GT_SAMPLE_000008,chatgpt,Chatgpt_POST_000005,post,True
RECORD_000009,GT_SAMPLE_000009,chatgpt,Chatgpt_POST_000006,post,True
RECORD_000010,GT_SAMPLE_000010,chatgpt,Chatgpt_POST_000007,post,True
RECORD_000011,GT_SAMPLE_000011,chatgpt,Chatgpt_POST_000007,comment,False
RECORD_000012,GT_SAMPLE_000012,chatgpt,Chatgpt_POST_000007,comment,True
RECORD_000013,GT_SAMPLE_000013,chatgpt,Chatgpt_POST_000007,comment,False
RECORD_000014,GT_SAMPLE_000014,chatgpt,Chatgpt_POST_000007,comment,False
RECORD_000015,GT_SAMPLE_000015,chatgpt,Chatgpt_POST_000007,comment,False
RECORD_000016,GT_SAMPLE_000016,chatgpt,Chatgpt_POST_000007,comment,True
RECORD_000017,GT_SAMPLE_000017,chatgpt,Chatgpt_POST_000007,comment,False
RECORD_000018,GT_SAMPLE_000018,chatgpt,Chatgpt_POST_000008,post,True
RECORD_000019,GT_SAMPLE_000019,chatgpt,Chatgpt_POST_000008,comment,True
RECORD_000020,GT_SAMPLE_000020,chatgpt,Chatgpt_POST_000008,comment,True
RECORD_000021,GT_SAMPLE_000021,chatgpt,Chatgpt_POST_000009,post,False
RECORD_000022,GT_SAMPLE_000022,chatgpt,Chatgpt_POST_000009,comment,True
RECORD_000023,GT_SAMPLE_000023,chatgpt,Chatgpt_POST_000009,comment,False
RECORD_000024,GT_SAMPLE_000024,chatgpt,Chatgpt_POST_000009,comment,False
RECORD_000025,GT_SAMPLE_000025,chatgpt,Chatgpt_POST_000009,comment,False
RECORD_000026,GT_SAMPLE_000026,chatgpt,Chatgpt_POST_000009,comment,False
RECORD_000027,GT_SAMPLE_000027,chatgpt,Chatgpt_POST_000009,comment,True
RECORD_000028,GT_SAMPLE_000028,chatgpt,Chatgpt_POST_000009,comment,True
RECORD_000029,GT_SAMPLE_000029,chatgpt,Chatgpt_POST_000009,comment,False
RECORD_000030,GT_SAMPLE_000030,chatgpt,Chatgpt_POST_000009,comment,False
RECORD_000031,GT_SAMPLE_000031,chatgpt,Chatgpt_POST_000009,comment,False
RECORD_000032,GT_SAMPLE_000032,chatgpt,Chatgpt_POST_000009,comment,False
RECORD_000033,GT_SAMPLE_000033,chatgpt,Chatgpt_POST_000009,comment,True
RECORD_000034,GT_SAMPLE_000034,chatgpt,Chatgpt_POST_000009,comment,False
RECORD_000035,GT_SAMPLE_000035,chatgpt,Chatgpt_POST_000010,post,True
RECORD_000036,GT_SAMPLE_000036,chatgpt,Chatgpt_POST_000010,comment,True
RECORD_000037,GT_SAMPLE_000037,chatgpt,Chatgpt_POST_000010,comment,True
RECORD_000038,GT_SAMPLE_000038,chatgpt,Chatgpt_POST_000010,comment,False
RECORD_000039,GT_SAMPLE_000039,chatgpt,Chatgpt_POST_000010,comment,False
RECORD_000040,GT_SAMPLE_000040,chatgpt,Chatgpt_POST_000010,comment,False
RECORD_000041,GT_SAMPLE_000041,chatgpt,Chatgpt_POST_000010,comment,False
RECORD_000042,GT_SAMPLE_000042,chatgpt,Chatgpt_POST_000011,post,True
RECORD_000043,GT_SAMPLE_000043,chatgpt,Chatgpt_POST_000011,comment,False
RECORD_000044,GT_SAMPLE_000044,chatgpt,Chatgpt_POST_000011,comment,False
RECORD_000045,GT_SAMPLE_000045,chatgpt,Chatgpt_POST_000011,comment,True
RECORD_000046,GT_SAMPLE_000046,chatgpt,Chatgpt_POST_000011,comment,True
RECORD_000047,GT_SAMPLE_000047,chatgpt,Chatgpt_POST_000012,post,True
RECORD_000048,GT_SAMPLE_000048,chatgpt,Chatgpt_POST_000012,comment,False
RECORD_000049,GT_SAMPLE_000049,chatgpt,Chatgpt_POST_000012,comment,True
RECORD_000050,GT_SAMPLE_000050,chatgpt,Chatgpt_POST_000013,post,True
RECORD_000051,GT_SAMPLE_000051,chatgpt,Chatgpt_POST_000013,comment,True
RECORD_000052,GT_SAMPLE_000052,chatgpt,Chatgpt_POST_000013,comment,True
RECORD_000053,GT_SAMPLE_000053,chatgpt,Chatgpt_POST_000013,comment,True
RECORD_000054,GT_SAMPLE_000054,chatgpt,Chatgpt_POST_000013,comment,True
RECORD_000055,GT_SAMPLE_000055,chatgpt,Chatgpt_POST_000014,post,False
RECORD_000056,GT_SAMPLE_000056,chatgpt,Chatgpt_POST_000014,comment,True
RECORD_000057,GT_SAMPLE_000057,chatgpt,Chatgpt_POST_000014,comment,False
RECORD_000058,GT_SAMPLE_000058,chatgpt,Chatgpt_POST_000014,comment,False
RECORD_000059,GT_SAMPLE_000059,chatgpt,Chatgpt_POST_000014,comment,False
RECORD_000060,GT_SAMPLE_000060,chatgpt,Chatgpt_POST_000015,post,True
RECORD_000061,GT_SAMPLE_000061,chatgpt,Chatgpt_POST_000015,comment,True
RECORD_000062,GT_SAMPLE_000062,chatgpt,Chatgpt_POST_000016,post,True
RECORD_000063,GT_SAMPLE_000063,chatgpt,Chatgpt_POST_000016,comment,True
RECORD_000064,GT_SAMPLE_000064,chatgpt,Chatgpt_POST_000016,comment,False
RECORD_000065,GT_SAMPLE_000065,chatgpt,Chatgpt_POST_000016,comment,False
RECORD_000066,GT_SAMPLE_000066,chatgpt,Chatgpt_POST_000017,post,False
RECORD_000067,GT_SAMPLE_000067,chatgpt,Chatgpt_POST_000017,comment,False
RECORD_000068,GT_SAMPLE_000068,chatgpt,Chatgpt_POST_000017,comment,False
RECORD_000069,GT_SAMPLE_000069,chatgpt,Chatgpt_POST_000017,comment,True
RECORD_000070,GT_SAMPLE_000070,chatgpt,Chatgpt_POST_000017,comment,False
RECORD_000071,GT_SAMPLE_000071,chatgpt,Chatgpt_POST_000017,comment,False
RECORD_000072,GT_SAMPLE_000072,chatgpt,Chatgpt_POST_000018,post,False
RECORD_000073,GT_SAMPLE_000073,chatgpt,Chatgpt_POST_000018,comment,True
RECORD_000074,GT_SAMPLE_000074,chatgpt,Chatgpt_POST_000018,comment,True
RECORD_000075,GT_SAMPLE_000075,chatgpt,Chatgpt_POST_000019,post,True
RECORD_000076,GT_SAMPLE_000076,chatgpt,Chatgpt_POST_000020,post,False
RECORD_000077,GT_SAMPLE_000077,chatgpt,Chatgpt_POST_000020,comment,True
RECORD_000078,GT_SAMPLE_000078,chatgpt,Chatgpt_POST_000021,post,True
RECORD_000079,GT_SAMPLE_000079,chatgpt,Chatgpt_POST_000022,post,True
RECORD_000080,GT_SAMPLE_000080,chatgpt,Chatgpt_POST_000022,comment,False
RECORD_000081,GT_SAMPLE_000081,chatgpt,Chatgpt_POST_000022,comment,False
RECORD_000082,GT_SAMPLE_000082,chatgpt,Chatgpt_POST_000022,comment,True
RECORD_000083,GT_SAMPLE_000083,chatgpt,Chatgpt_POST_000022,comment,False
RECORD_000084,GT_SAMPLE_000084,chatgpt,Chatgpt_POST_000023,post,False
RECORD_000085,GT_SAMPLE_000085,chatgpt,Chatgpt_POST_000023,comment,False
RECORD_000086,GT_SAMPLE_000086,chatgpt,Chatgpt_POST_000023,comment,False
RECORD_000087,GT_SAMPLE_000087,chatgpt,Chatgpt_POST_000023,comment,True
RECORD_000088,GT_SAMPLE_000088,chatgpt,Chatgpt_POST_000023,comment,False
RECORD_000089,GT_SAMPLE_000089,chatgpt,Chatgpt_POST_000023,comment,False
RECORD_000090,GT_SAMPLE_000090,chatgpt,Chatgpt_POST_000023,comment,True
RECORD_000091,GT_SAMPLE_000091,chatgpt,Chatgpt_POST_000023,comment,False
RECORD_000092,GT_SAMPLE_000092,chatgpt,Chatgpt_POST_000023,comment,False
RECORD_000093,GT_SAMPLE_000093,chatgpt,Chatgpt_POST_000023,comment,False
RECORD_000094,GT_SAMPLE_000094,chatgpt,Chatgpt_POST_000023,comment,False
RECORD_000095,GT_SAMPLE_000095,chatgpt,Chatgpt_POST_000023,comment,False
RECORD_000096,GT_SAMPLE_000096,chatgpt,Chatgpt_POST_000023,comment,False
RECORD_000097,GT_SAMPLE_000097,chatgpt,Chatgpt_POST_000024,post,True
RECORD_000098,GT_SAMPLE_000098,chatgpt,Chatgpt_POST_000025,post,False
RECORD_000099,GT_SAMPLE_000099,chatgpt,Chatgpt_POST_000026,post,True
RECORD_000100,GT_SAMPLE_000100,chatgpt,Chatgpt_POST_000026,comment,False
RECORD_000101,GT_SAMPLE_000101,chatgpt,Chatgpt_POST_000026,comment,True
RECORD_000102,GT_SAMPLE_000102,chatgpt,Chatgpt_POST_000027,post,True
RECORD_000103,GT_SAMPLE_000103,chatgpt,Chatgpt_POST_000027,comment,True
RECORD_000104,GT_SAMPLE_000104,chatgpt,Chatgpt_POST_000027,comment,False
RECORD_000105,GT_SAMPLE_000105,chatgpt,Chatgpt_POST_000028,post,True
RECORD_000106,GT_SAMPLE_000106,chatgpt,Chatgpt_POST_000028,comment,True
RECORD_000107,GT_SAMPLE_000107,chatgpt,Chatgpt_POST_000029,post,False
RECORD_000108,GT_SAMPLE_000108,chatgpt,Chatgpt_POST_000029,comment,True
RECORD_000109,GT_SAMPLE_000109,chatgpt,Chatgpt_POST_000029,comment,True
RECORD_000110,GT_SAMPLE_000110,chatgpt,Chatgpt_POST_000030,post,False
RECORD_000111,GT_SAMPLE_000111,chatgpt,Chatgpt_POST_000030,comment,True
RECORD_000112,GT_SAMPLE_000112,chatgpt,Chatgpt_POST_000031,post,True
RECORD_000113,GT_SAMPLE_000113,chatgpt,Chatgpt_POST_000031,comment,True
RECORD_000114,GT_SAMPLE_000114,chatgpt,Chatgpt_POST_000031,comment,True
RECORD_000115,GT_SAMPLE_000115,chatgpt,Chatgpt_POST_000031,comment,False
RECORD_000116,GT_SAMPLE_000116,chatgpt,Chatgpt_POST_000031,comment,True
RECORD_000117,GT_SAMPLE_000117,chatgpt,Chatgpt_POST_000031,comment,True
RECORD_000118,GT_SAMPLE_000118,chatgpt,Chatgpt_POST_000031,comment,False
RECORD_000119,GT_SAMPLE_000119,chatgpt,Chatgpt_POST_000031,comment,True
RECORD_000120,GT_SAMPLE_000120,chatgpt,Chatgpt_POST_000031,comment,True
RECORD_000121,GT_SAMPLE_000121,chatgpt,Chatgpt_POST_000031,comment,False
RECORD_000122,GT_SAMPLE_000122,chatgpt,Chatgpt_POST_000031,comment,False
RECORD_000123,GT_SAMPLE_000123,chatgpt,Chatgpt_POST_000031,comment,False
RECORD_000124,GT_SAMPLE_000124,chatgpt,Chatgpt_POST_000032,post,True
RECORD_000125,GT_SAMPLE_000125,chatgpt,Chatgpt_POST_000033,post,True
RECORD_000126,GT_SAMPLE_000126,chatgpt,Chatgpt_POST_000033,comment,False
RECORD_000127,GT_SAMPLE_000127,chatgpt,Chatgpt_POST_000033,comment,False
RECORD_000128,GT_SAMPLE_000128,chatgpt,Chatgpt_POST_000033,comment,True
RECORD_000129,GT_SAMPLE_000129,chatgpt,Chatgpt_POST_000034,post,False
RECORD_000130,GT_SAMPLE_000130,chatgpt,Chatgpt_POST_000034,comment,True
RECORD_000131,GT_SAMPLE_000131,chatgpt,Chatgpt_POST_000034,comment,True
RECORD_000132,GT_SAMPLE_000132,chatgpt,Chatgpt_POST_000034,comment,True
RECORD_000133,GT_SAMPLE_000133,chatgpt,Chatgpt_POST_000035,post,False
RECORD_000134,GT_SAMPLE_000134,chatgpt,Chatgpt_POST_000035,comment,True
RECORD_000135,GT_SAMPLE_000135,chatgpt,Chatgpt_POST_000036,post,True
RECORD_000136,GT_SAMPLE_000136,chatgpt,Chatgpt_POST_000036,comment,False
RECORD_000137,GT_SAMPLE_000137,chatgpt,Chatgpt_POST_000036,comment,True
RECORD_000138,GT_SAMPLE_000138,chatgpt,Chatgpt_POST_000036,comment,True
RECORD_000139,GT_SAMPLE_000139,chatgpt,Chatgpt_POST_000036,comment,True
RECORD_000140,GT_SAMPLE_000140,chatgpt,Chatgpt_POST_000036,comment,False
RECORD_000141,GT_SAMPLE_000141,chatgpt,Chatgpt_POST_000036,comment,True
RECORD_000142,GT_SAMPLE_000142,chatgpt,Chatgpt_POST_000036,comment,False
RECORD_000143,GT_SAMPLE_000143,chatgpt,Chatgpt_POST_000037,post,True
RECORD_000144,GT_SAMPLE_000144,chatgpt,Chatgpt_POST_000037,comment,True
RECORD_000145,GT_SAMPLE_000145,chatgpt,Chatgpt_POST_000037,comment,False
RECORD_000146,GT_SAMPLE_000146,chatgpt,Chatgpt_POST_000037,comment,True
RECORD_000147,GT_SAMPLE_000147,chatgpt,Chatgpt_POST_000038,post,True
RECORD_000148,GT_SAMPLE_000148,chatgpt,Chatgpt_POST_000039,post,True
RECORD_000149,GT_SAMPLE_000149,chatgpt,Chatgpt_POST_000039,comment,False
RECORD_000150,GT_SAMPLE_000150,chatgpt,Chatgpt_POST_000039,comment,False
RECORD_000151,GT_SAMPLE_000151,chatgpt,Chatgpt_POST_000039,comment,False
RECORD_000152,GT_SAMPLE_000152,chatgpt,Chatgpt_POST_000040,post,True
RECORD_000153,GT_SAMPLE_000153,chatgpt,Chatgpt_POST_000040,comment,False
RECORD_000154,GT_SAMPLE_000154,chatgpt,Chatgpt_POST_000040,comment,True
RECORD_000155,GT_SAMPLE_000155,chatgpt,Chatgpt_POST_000040,comment,False
RECORD_000156,GT_SAMPLE_000156,chatgpt,Chatgpt_POST_000040,comment,True
RECORD_000157,GT_SAMPLE_000157,chatgpt,Chatgpt_POST_000040,comment,True
RECORD_000158,GT_SAMPLE_000158,chatgpt,Chatgpt_POST_000041,post,True
RECORD_000159,GT_SAMPLE_000159,chatgpt,Chatgpt_POST_000041,comment,False
RECORD_000160,GT_SAMPLE_000160,chatgpt,Chatgpt_POST_000041,comment,False
RECORD_000161,GT_SAMPLE_000161,chatgpt,Chatgpt_POST_000041,comment,True
RECORD_000162,GT_SAMPLE_000162,chatgpt,Chatgpt_POST_000041,comment,False
RECORD_000163,GT_SAMPLE_000163,chatgpt,Chatgpt_POST_000041,comment,False
RECORD_000164,GT_SAMPLE_000164,chatgpt,Chatgpt_POST_000041,comment,False
