pipeline_topic,TP,TN,FP,FN,total,final_accepted,final_rejected
A1.1_PRIVACY_INPUT_CONTENT,12,5,1,0,18,16,2
A1.2_PRIVACY_BEHAVIORAL_METADATA,7,9,1,0,17,16,1
A2.1_PRIVACY_SERVICE_PROVISION,1,6,0,0,7,7,0
A2.2_PRIVACY_MODEL_TRAINING,23,1,1,0,25,25,0
A3.1_PRIVACY_RETENTION_DURATION,12,2,2,0,16,15,1
A3.2_PRIVACY_DELETION_MECHANISM,12,5,0,1,18,18,0
A4.1_PRIVACY_THIRD_PARTY_SHARING,8,2,2,0,12,12,0
A4.2_PRIVACY_PLUGIN_EXTENSION_ACCESS,4,0,0,0,4,4,0
B1.1_PRIVACY_CONSENT_MECHANISM,21,5,4,2,32,31,1
B1.2_PRIVACY_GRANULAR_CONTROL,17,1,0,0,18,18,0
B1.3_PRIVACY_TRANSPARENCY_DISCLOSURE,36,12,2,5,55,55,0
B1.4_PRIVACY_POLICY_CHANGE_NOTIFICATION,1,0,0,0,1,1,0
C1.1_PRIVACY_OUTPUT_RISK,15,4,3,1,23,22,1
C1.2_PRIVACY_MEMORY_PERSONALIZATION,7,5,1,1,14,13,1
C2.1_PRIVACY_AGENT_AUTONOMOUS_ACTIONS,3,1,0,0,4,3,1
C2.2_PRIVACY_DOWNSTREAM_INTEGRATION,4,0,0,0,4,4,0
D1.1_PRIVACY_JURISDICTION_LAW,23,6,0,1,30,28,2
D1.2_PRIVACY_VULNERABLE_POPULATION,4,0,0,0,4,4,0
D2.1_PRIVACY_DATA_SECURITY,15,7,1,4,27,24,3
D2.2_PRIVACY_BREACH_NOTIFICATION,0,1,0,0,1,0,1
NEW_TOPIC,13,7,5,0,25,23,2
COUNT,238,79,23,15,355,339,16
