topic,TP,TN,FP,FN,label_events
A1.1_PRIVACY_INPUT_CONTENT,14,NA,5,4,23
A1.2_PRIVACY_BEHAVIORAL_METADATA,11,NA,2,1,14
A2.1_PRIVACY_SERVICE_PROVISION,4,NA,4,2,10
A2.2_PRIVACY_MODEL_TRAINING,28,NA,0,4,32
A3.1_PRIVACY_RETENTION_DURATION,28,NA,6,6,40
A3.2_PRIVACY_DELETION_MECHANISM,14,NA,1,0,15
A4.1_PRIVACY_THIRD_PARTY_SHARING,9,NA,1,3,13
A4.2_PRIVACY_PLUGIN_EXTENSION_ACCESS,5,NA,0,0,5
B1.1_PRIVACY_CONSENT_MECHANISM,15,NA,4,10,29
B1.2_PRIVACY_GRANULAR_CONTROL,27,NA,6,7,40
B1.3_PRIVACY_TRANSPARENCY_DISCLOSURE,23,NA,7,9,39
B1.4_PRIVACY_POLICY_CHANGE_NOTIFICATION,1,NA,0,0,1
C1.1_PRIVACY_OUTPUT_RISK,14,NA,4,2,20
C1.2_PRIVACY_MEMORY_PERSONALIZATION,12,NA,7,8,27
C2.1_PRIVACY_AGENT_AUTONOMOUS_ACTIONS,1,NA,0,0,1
C2.2_PRIVACY_DOWNSTREAM_INTEGRATION,2,NA,0,0,2
D1.1_PRIVACY_JURISDICTION_LAW,12,NA,2,5,19
D1.2_PRIVACY_VULNERABLE_POPULATION,1,NA,0,0,1
D2.1_PRIVACY_DATA_SECURITY,11,NA,1,1,13
D2.2_PRIVACY_BREACH_NOTIFICATION,1,NA,0,0,1
COUNT,233,NA,50,62,345
