pipeline_topic,TP,TN,FP,FN,total,final_accepted,final_rejected
A1.1_PRIVACY_INPUT_CONTENT,10,5,2,1,18,16,2
A1.2_PRIVACY_BEHAVIORAL_METADATA,7,8,1,1,17,15,2
A2.1_PRIVACY_SERVICE_PROVISION,1,6,0,0,7,6,1
A2.2_PRIVACY_MODEL_TRAINING,22,2,1,0,25,25,0
A3.1_PRIVACY_RETENTION_DURATION,12,2,2,0,16,15,1
A3.2_PRIVACY_DELETION_MECHANISM,15,1,0,2,18,18,0
A4.1_PRIVACY_THIRD_PARTY_SHARING,9,2,1,0,12,12,0
A4.2_PRIVACY_PLUGIN_EXTENSION_ACCESS,4,0,0,0,4,4,0
B1.1_PRIVACY_CONSENT_MECHANISM,22,4,4,2,32,31,1
B1.2_PRIVACY_GRANULAR_CONTROL,16,1,0,1,18,17,1
B1.3_PRIVACY_TRANSPARENCY_DISCLOSURE,40,6,7,2,55,55,0
B1.4_PRIVACY_POLICY_CHANGE_NOTIFICATION,1,0,0,0,1,1,0
C1.1_PRIVACY_OUTPUT_RISK,17,3,2,1,23,22,1
C1.2_PRIVACY_MEMORY_PERSONALIZATION,9,2,2,1,14,14,0
C2.1_PRIVACY_AGENT_AUTONOMOUS_ACTIONS,1,3,0,0,4,1,3
C2.2_PRIVACY_DOWNSTREAM_INTEGRATION,4,0,0,0,4,4,0
D1.1_PRIVACY_JURISDICTION_LAW,18,7,5,0,30,27,3
D1.2_PRIVACY_VULNERABLE_POPULATION,4,0,0,0,4,4,0
D2.1_PRIVACY_DATA_SECURITY,14,10,1,2,27,24,3
D2.2_PRIVACY_BREACH_NOTIFICATION,0,1,0,0,1,0,1
NEW_TOPIC,0,25,0,0,25,19,6
COUNT,226,88,28,13,355,330,25
